               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.064273,           0.0088989,           0.0041357,             0.59815,             0.56234,             0.55779,             0.25939,            0.062238,           0.0064218,           0.0050908,           0.0030888,           0.0030888,           0.0030888
                  36,             0.06324,            0.008851,            0.004004,             0.64078,             0.55212,             0.56123,             0.25605,            0.061464,           0.0064634,            0.005558,            0.002855,            0.002855,            0.002855
                  37,            0.062142,           0.0088202,           0.0038788,             0.61611,             0.57387,             0.56723,             0.25564,            0.061393,           0.0064227,            0.004858,           0.0026316,           0.0026316,           0.0026316
                  38,            0.062196,           0.0087077,           0.0037388,             0.59522,             0.58905,             0.58034,             0.26587,            0.061131,           0.0063978,           0.0048123,           0.0024195,           0.0024195,           0.0024195
                  39,            0.061574,           0.0087378,           0.0036022,             0.62048,               0.601,             0.58705,             0.27504,            0.060266,           0.0063412,           0.0046982,           0.0022196,           0.0022196,           0.0022196
                  40,            0.060776,           0.0085292,           0.0036835,             0.65045,             0.58968,             0.59596,              0.2758,            0.059676,             0.00638,            0.005161,           0.0020327,           0.0020327,           0.0020327
                  41,            0.060534,           0.0085567,           0.0033302,             0.69312,             0.56967,             0.60401,             0.28023,            0.059569,           0.0063043,           0.0051526,           0.0018594,           0.0018594,           0.0018594
                  42,            0.059636,           0.0085624,           0.0033412,             0.61021,             0.61504,             0.59243,             0.27426,            0.059585,             0.00632,           0.0053555,           0.0017005,           0.0017005,           0.0017005
                  43,            0.059869,           0.0085975,           0.0035918,               0.655,             0.59499,             0.60633,             0.28064,            0.059043,           0.0062579,           0.0049519,           0.0015566,           0.0015566,           0.0015566
                  44,            0.059495,           0.0084477,           0.0030656,              0.6935,             0.58248,             0.60769,             0.28566,            0.058823,           0.0062549,           0.0052588,           0.0014283,           0.0014283,           0.0014283
                  45,            0.058966,            0.008386,           0.0030951,             0.67062,             0.59496,             0.60012,             0.28693,            0.058581,           0.0062755,           0.0050992,            0.001316,            0.001316,            0.001316
                  46,            0.058312,           0.0083706,           0.0029968,             0.65992,             0.60253,             0.61325,             0.28977,            0.058313,           0.0062547,           0.0052763,           0.0012202,           0.0012202,           0.0012202
                  47,            0.059214,            0.008523,           0.0027953,              0.6518,             0.61161,             0.61415,             0.28978,            0.058037,            0.006284,           0.0050925,           0.0011414,           0.0011414,           0.0011414
                  48,            0.058209,           0.0085182,           0.0029715,              0.6623,             0.61398,             0.61838,             0.29537,            0.057948,           0.0062012,           0.0051842,           0.0010797,           0.0010797,           0.0010797
                  49,            0.058237,           0.0083213,           0.0031105,             0.67756,             0.59893,             0.61523,              0.2932,            0.057871,           0.0062268,           0.0049914,           0.0010355,           0.0010355,           0.0010355
